Hash_Transaction,Block_ID,Hash_Block,Miner,Difficulty,Total_Difficulty,Size,Number_Transactions,From,To,Value_(Wei),Gas_Price,Gas_Limit,Gas_Used,Status,Timestamp_Transaction,Type_Transaction,Amount_Out_Min,Amount_Out,Amount_In,From_Token_Address,To_Token_Address,From_Token_Symbol,To_Token_Symbol,From_Token_Holders_Count,To_Token_Holders_Count,From_Token_Price,To_Token_Price
0x19d82b32f5233379ed46d0b137af51969251dfe4044015b3406c816d7d10843e,17618493,0x4a8220f0d22af910a66a87955dea706c7c605596e657f96c94d5cd74d21734df,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,0,58750003716598352816469,151605,125,0xD902c8B353b228431cCC848420647332854f4589,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0,15969952560,441980,233972,Confirmed,1688448623,swapExactTokensForETHSupportingFeeOnTransferTokens,0,8853962620458648,482125558597,0x28490F7713BB686572DCD1dE91aAFB897A021DBB,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,FROKI2.0,WETH,27,807330,0.003557781464118532,1950.994161311691
0x99d196418ad24d27244320b45de2e0f48081fe819a2cf3fcb4a7963eb2b66a09,17618493,0x4a8220f0d22af910a66a87955dea706c7c605596e657f96c94d5cd74d21734df,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,0,58750003716598352816469,151605,125,0xa1BCdf35965E5407B01dec9AE359af76554f8d70,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,20000000000000000,15969952560,261950,149615,Confirmed,1688448623,swapExactETHForTokensSupportingFeeOnTransferTokens,320407215807,400509019759,20000000000000000,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xf73A1EDE0F297Da25d73BDf2c8E700968119428C,WETH,RETIRE,807325,144,1950.994161311691,0.07296140274727737
0x667f32debebd3f0ad1489e9378665b0f39faabad16427f6efe9d9e83b82ed81e,17618493,0x4a8220f0d22af910a66a87955dea706c7c605596e657f96c94d5cd74d21734df,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,0,58750003716598352816469,151605,125,0x321544934a5494046Fa06Ca07e4419D2eC6DdE14,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0,15969952560,261560,149485,Confirmed,1688448623,swapExactTokensForETHSupportingFeeOnTransferTokens,48262566026698438,95574833615858576,2289459142712711,0x41cBB6cDF5ED49A8481352EC2B1F96dF33feA941,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,DOGE2.0,WETH,470,807334,6.7062353866827e-05,1950.994161311691
0x0417ba2877070b9780d65c4f1496b11744140e2a60fd9c83088636aa57168f38,17618493,0x4a8220f0d22af910a66a87955dea706c7c605596e657f96c94d5cd74d21734df,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,0,58750003716598352816469,151605,125,0x78362EA47f1b29a2c7691fFfAcF4C523AB96d5a8,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0,27969952560,289361,168019,Confirmed,1688448623,swapExactTokensForETHSupportingFeeOnTransferTokens,0,95803571516064713,3380962786193520000000,0xF2ec4a773ef90c58d98ea734c0eBDB538519b988,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,DOGE2.0,WETH,141,807334,5.3796438e-11,1950.994161311691
0xccb751ea9ac60043727393c970d06c7226153fa2457069b5acad2fb7c22457ad,17618493,0x4a8220f0d22af910a66a87955dea706c7c605596e657f96c94d5cd74d21734df,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,0,58750003716598352816469,151605,125,0xB1E6fcF1135682b1f145Dcee95780C12FfAf1477,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0,15969952560,261434,138985,Confirmed,1688448623,swapExactTokensForETHSupportingFeeOnTransferTokens,0,64576054567531854,1588193411218207,0x41cBB6cDF5ED49A8481352EC2B1F96dF33feA941,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,DOGE2.0,WETH,470,807330,6.3401584831131e-05,1950.994161311691
0xf042ed21fa944fca7a3f0c302f5defb0e0cf8f60fdb4a79d4f52dca10ea53d36,17618493,0x4a8220f0d22af910a66a87955dea706c7c605596e657f96c94d5cd74d21734df,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,0,58750003716598352816469,151605,125,0x4b4d84ad5e2b2d4c46E69334162d5311586B1b58,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0,15969952560,428285,218336,Confirmed,1688448623,swapExactTokensForETHSupportingFeeOnTransferTokens,129558028068360574,142567580825075968,3207999999999,0xf73A1EDE0F297Da25d73BDf2c8E700968119428C,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,RETIRE,WETH,147,807334,0.07719928314949985,1950.994161311691
0xdaac8f6d074041fb504560f260f283b7c9447abc1359123320825c473a18ba16,17618493,0x4a8220f0d22af910a66a87955dea706c7c605596e657f96c94d5cd74d21734df,0x95222290DD7278Aa3Ddd389Cc1E1d165CC4BAfe5,0,58750003716598352816469,151605,125,0xB3668Df698Db10CfFb47786cDdE2602D4e6e9604,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0,15969952560,261560,139069,Confirmed,1688448623,swapExactTokensForETHSupportingFeeOnTransferTokens,1427278012338785,134160484663301305,3411282652298459,0x41cBB6cDF5ED49A8481352EC2B1F96dF33feA941,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,DOGE2.0,WETH,470,807325,8.0859924606032e-05,1950.994161311691
0x712a8f6736c31bd5b7c05c844a77d38fa850488a2360da0bdbf89eafb263f4ec,17618494,0x407815f8bfb6d9be03706c232e3c12b3bb6b7d0b7d418c31effb8fdc7f701665,0x1f9090aaE28b8a3dCeaDf281B0F12828e676c326,0,58750003716598352816469,48595,124,0x86f1bB8b6e649131B77A6F154C00b05E63700602,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0,17545746700,245792,149389,Confirmed,1688448635,swapExactTokensForETHSupportingFeeOnTransferTokens,0,117709414309056231,3124122890625000,0x41cBB6cDF5ED49A8481352EC2B1F96dF33feA941,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,DOGE2.0,WETH,465,807325,7.7744144346402e-05,1950.994161311691
0x1cc7dd611859c9052890da368183a5657e8804e710292887eeeb7f59bd1c2e0e,17618494,0x407815f8bfb6d9be03706c232e3c12b3bb6b7d0b7d418c31effb8fdc7f701665,0x1f9090aaE28b8a3dCeaDf281B0F12828e676c326,0,58750003716598352816469,48595,124,0x3231b2a23569ec85D01cc41aD46dD0959A8FF7EC,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0,15545746700,245936,139069,Confirmed,1688448635,swapExactTokensForETHSupportingFeeOnTransferTokens,79696290564666560,108298450104827975,2989518840000000,0x41cBB6cDF5ED49A8481352EC2B1F96dF33feA941,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,DOGE2.0,WETH,463,807334,7.7744144346402e-05,1950.994161311691
0x1264d2924cfc3643c4fc7a1bdbf0539579118261685565453ebaee8ff9d3c443,17618494,0x407815f8bfb6d9be03706c232e3c12b3bb6b7d0b7d418c31effb8fdc7f701665,0x1f9090aaE28b8a3dCeaDf281B0F12828e676c326,0,58750003716598352816469,48595,124,0xD03Ef045B9c67b00e8D2a4fA01006946860FA185,0x7a250d5630B4cF539739dF2C5dAcb4c659F2488D,0,14545746700,213113,139045,Confirmed,1688448635,swapExactTokensForETHSupportingFeeOnTransferTokens,115186722221805175,124159235285912762,3571746750000000,0x41cBB6cDF5ED49A8481352EC2B1F96dF33feA941,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,DOGE2.0,WETH,463,807325,7.5668148855035e-05,1950.994161311691
